id,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay,Source_Dest
438,UA,410,SMF,DEN,5,360,144,0,SMF-DEN
439,UA,468,SEA,SFO,7,360,130,0,SEA-SFO
440,UA,475,CLT,ORD,3,360,133,1,CLT-ORD
441,UA,494,DSM,ORD,5,360,80,0,DSM-ORD
442,UA,506,SFO,PHX,7,360,120,0,SFO-PHX
443,UA,510,LAS,SFO,5,360,95,0,LAS-SFO
444,UA,520,MSP,ORD,4,360,84,0,MSP-ORD
445,UA,532,DEN,ORD,2,360,141,0,DEN-ORD
446,UA,650,BDL,IAD,2,360,94,0,BDL-IAD
447,UA,668,ORD,LGA,1,360,127,1,ORD-LGA
448,UA,669,LGA,ORD,3,360,150,0,LGA-ORD
449,UA,705,IAD,ORD,7,360,131,0,IAD-ORD
450,UA,707,ORD,DEN,1,360,160,0,ORD-DEN
451,UA,736,SFO,LAS,5,360,98,0,SFO-LAS
452,UA,740,OAK,DEN,5,360,146,0,OAK-DEN
453,UA,90,LAX,SFO,3,360,89,0,LAX-SFO
454,UA,922,ORD,IAD,3,360,108,0,ORD-IAD
455,US,1050,RDU,CLT,6,360,57,0,RDU-CLT
456,US,1262,MIA,PHL,7,360,169,0,MIA-PHL
457,US,1267,LGA,PHL,7,360,57,0,LGA-PHL
458,US,1296,STL,CLT,4,360,113,0,STL-CLT
459,US,1440,BNA,CLT,1,360,74,0,BNA-CLT
460,US,1772,MHT,CLT,1,360,152,0,MHT-CLT
461,US,1997,ORD,CLT,2,360,118,0,ORD-CLT
462,US,2021,BOS,DCA,6,360,96,0,BOS-DCA
463,US,2114,LGA,BOS,3,360,62,1,LGA-BOS
464,US,2115,BOS,LGA,1,360,70,0,BOS-LGA
465,US,2158,DCA,LGA,7,360,60,0,DCA-LGA
466,US,2161,LGA,DCA,2,360,59,0,LGA-DCA
467,US,270,IAH,PHX,3,360,172,0,IAH-PHX
468,US,56,ORD,PHL,3,360,119,0,ORD-PHL
469,US,578,SFO,PHX,4,360,111,0,SFO-PHX
470,US,595,MCI,PHX,2,360,174,0,MCI-PHX
471,US,652,IND,PHX,4,360,235,0,IND-PHX
472,US,86,OMA,PHX,4,360,175,1,OMA-PHX
473,US,952,FLL,PHL,6,360,157,0,FLL-PHL
474,US,985,MSY,CLT,2,360,108,1,MSY-CLT
475,WN,1067,OAK,SAN,1,360,85,1,OAK-SAN
476,WN,109,MSY,DEN,7,360,180,0,MSY-DEN
477,WN,1289,GEG,SEA,3,360,70,0,GEG-SEA
478,WN,1357,SMF,ONT,4,360,80,0,SMF-ONT
479,WN,1851,ONT,OAK,4,360,80,1,ONT-OAK
480,WN,1929,LAX,DEN,7,360,135,0,LAX-DEN
481,WN,2529,IND,DEN,4,360,185,1,IND-DEN
482,WN,2643,SMF,LAX,6,360,80,1,SMF-LAX
483,WN,2891,MDW,IAD,2,360,105,0,MDW-IAD
484,WN,3061,LGA,MDW,4,360,150,0,LGA-MDW
485,WN,367,MDW,BNA,3,360,85,1,MDW-BNA
486,WN,3,LIT,DAL,7,360,70,0,LIT-DAL
487,WN,406,SEA,LAS,5,360,140,1,SEA-LAS
488,WN,425,BOS,MDW,6,360,175,0,BOS-MDW
489,WN,647,PHX,DEN,2,360,105,1,PHX-DEN
490,WN,702,MDW,LAS,1,360,245,1,MDW-LAS
491,WN,735,IAD,DEN,2,360,240,0,IAD-DEN
492,WN,748,SMF,DEN,4,360,145,1,SMF-DEN
493,WN,799,LAX,SFO,1,360,80,0,LAX-SFO
494,WN,944,OAK,ONT,2,360,75,1,OAK-ONT
495,XE,2143,GSP,IAH,6,360,160,1,GSP-IAH
496,XE,2231,JAN,IAH,4,360,77,1,JAN-IAH
497,XE,2384,SHV,IAH,7,360,55,0,SHV-IAH
498,XE,2485,ORF,IAH,1,360,201,0,ORF-IAH
499,XE,2614,CMH,EWR,1,360,97,0,CMH-EWR
500,XE,2644,GPT,IAH,2,360,81,1,GPT-IAH
